VVc	yl	ld50	Fd50	dsl	Source
0.83	0.6666666667	365.8536585	2.690780625	1.07	Coleman2003
0.73	0.3333333333	731.7073171	2.343583125	0.785	Coleman2003
0.73	0.2	731.7073171	2.169984375	0.5566666667	Coleman2003
0.87	0.2	731.7073171	2.60398125	0.715	Coleman2003
0.61	0.2	731.7073171	1.822786875	0.355	Coleman2003
0.89	2	49.01960784	2.723902026	2	Coleman2003
0.74	0.1666666667	731.7073171	2.169984375	0.5266666667	Coleman2003
0.8	0.1666666667	731.7073171	2.343583125	0.495	Coleman2003
0.7	0.3333333333	731.7073171	2.25678375	0.54	Coleman2003
0.86	0.3333333333	731.7073171	2.77758	0.745	Coleman2003
0.56	0.3333333333	731.7073171	1.822786875	0.4566666667	Coleman2003
0.51	0.3333333333	731.7073171	1.649188125	0.3	Coleman2003
0.67	0.3333333333	731.7073171	2.169984375	0.585	Coleman2003
0.75	0.3333333333	731.7073171	2.4303825	0.6116666667	Coleman2003
0.46	0.3333333333	731.7073171	1.475589375	0.175	Coleman2003
0.61	0.3333333333	731.7073171	1.996385625	0.4633333333	Coleman2003
0.7	0.3333333333	731.7073171	2.25678375	0.5716666667	Coleman2003
0.79	0.3333333333	731.7073171	2.60398125	0.675	Coleman2003
0.81	0.6666666667	365.8536585	2.60398125	0.8966666667	Coleman2003
0.87	0.6666666667	365.8536585	2.77758	0.8866666667	Coleman2003
0.72	0.6666666667	365.8536585	2.343583125	0.6866666667	Coleman2003
0.58	4	49.01960784	1.945644304	1.28	Coleman2003
0.66	4	49.01960784	2.179121621	1.5	Coleman2003
0.79	4	49.01960784	2.646076254	2.9	Coleman2003
0.87	4	49.01960784	2.87955357	4.08	Coleman2003
0.62	2	49.01960784	1.867818532	0.94	Coleman2003
0.74	2	49.01960784	2.179121621	1.58	Coleman2003
0.69	0.6666666667	375	2.284819406	0.6233333333	Coleman2003
0.83	0.6666666667	375	2.724207753	1.05	Coleman2003
0.55	0.6666666667	375	1.845431058	0.19	Coleman2003
0.96	0.3333333333	375	2.812085422	0.9	Coleman2003
0.89	0.3333333333	375	2.636330083	1.113333333	Coleman2003
0.6	0.6666666667	375	2.021186397	0.8666666667	Coleman2003
0.99	4	58.82352941	3.239646754	3.64	Coleman2003
0.51	4	58.82352941	1.705077239	0.96	Coleman2003
0.84	2	58.82352941	2.472361996	2.76	Coleman2003
0.99	2	58.82352941	2.898631306	2.96	Coleman2003
0.59	2	58.82352941	1.790331101	0.86	Coleman2003
0.95	4	166.6666667	3.562630036	1.833333333	Coleman2003
0.95	3.333333333	166.6666667	3.479778175	1.826666667	Coleman2003
0.95	2.333333333	166.6666667	3.314074452	1.733333333	Coleman2003
0.95	1.333333333	166.6666667	3.065518868	1.6	Coleman2003
0.95	0.6666666667	166.6666667	2.734111423	0.6666666667	Coleman2003
0.95	1.166666667	333.3333333	3.314074452	1.313333333	Coleman2003
0.95	0.6666666667	333.3333333	3.065518868	1.08	Coleman2003
0.95	0.3333333333	333.3333333	2.734111423	0.4733333333	Coleman2003
0.95	0.6666666667	166.6666667	2.734111423	0.7666666667	Coleman2003
0.95	1.333333333	166.6666667	3.065518868	1.6	Coleman2003
0.95	2.6	166.6666667	3.314074452	2	Coleman2003
0.95	1.666666667	166.6666667	3.14837073	1.8	Coleman2003
0.95	0.8666666667	166.6666667	2.899815146	1.586666667	Coleman2003
0.95	2.2	166.6666667	3.314074452	1.98	Coleman2003
0.95	2.333333333	166.6666667	3.314074452	1.946666667	Coleman2003
0.95	3.333333333	166.6666667	3.479778175	2.026666667	Coleman2003
0.95	3.533333333	166.6666667	3.479778175	2.026666667	Coleman2003
0.95	4	166.6666667	3.562630036	2.026666667	Coleman2003
0.95	0.006608695652	6388.888889	2.319852117	0.06382608696	Coleman2003
0.95	0.01043478261	6388.888889	2.5684077	0.08886956522	Coleman2003
0.95	0.01013333333	4166.666667	2.319852117	0.0968	Coleman2003
0.95	0.016	4166.666667	2.5684077	0.1381333333	Coleman2003
0.95	0.02666666667	4166.666667	2.734111423	0.1992	Coleman2003
0.95	0.05714285714	1944.444444	2.734111423	0.3165714286	Coleman2003
0.95	0.03428571429	1944.444444	2.5684077	0.2548571429	Coleman2003
0.95	0.02171428571	1944.444444	2.319852117	0.18	Coleman2003
0.95	0.01263157895	5277.777778	2.5684077	0.1109473684	Coleman2003
0.95	0.3333333333	90.90909091	2.812418272	0.55	Coleman2003
0.95	0.6666666667	90.90909091	3.201830033	1.04	Coleman2003
0.95	1	90.90909091	3.4181699	1.366666667	Coleman2003
0.95	1.333333333	90.90909091	3.547973821	1.53	Coleman2003
0.95	1.666666667	90.90909091	3.677777741	1.713333333	Coleman2003
0.95	0.6666666667	45.45454545	2.812418272	0.8933333333	Coleman2003
0.95	1.333333333	45.45454545	3.201830033	1.56	Coleman2003
0.95	2	45.45454545	3.4181699	1.78	Coleman2003
0.95	2.666666667	45.45454545	3.547973821	1.913333333	Coleman2003
0.95	3.333333333	45.45454545	3.677777741	2.013333333	Coleman2003
0.95	0.6666666667	11.11111111	2.096441343	0.8	Coleman2003
0.95	1.333333333	11.11111111	2.502894256	0.9	Coleman2003
0.95	2	11.11111111	2.716816842	1.1	Coleman2003
0.95	2.666666667	11.11111111	2.887954911	1.2	Coleman2003
0.95	3.333333333	11.11111111	3.016308463	1.273333333	Coleman2003
0.95	0.3333333333	16.66666667	1.945255136	0.59	Coleman2003
0.95	0.6666666667	16.66666667	2.334306164	0.68	Coleman2003
0.95	1	16.66666667	2.556621036	0.9666666667	Coleman2003
0.95	1.333333333	16.66666667	2.723357191	1.15	Coleman2003
0.95	1.666666667	16.66666667	2.853040867	1.28	Coleman2003
